Player ID,Name,Age,Country,Matches Played (Year),Win Rate (%),Average Match Duration (min),Total Points Scored
71,Erika Yamamoto,30,Malaysia,46,90.7,43.7,1862
72,Maxime Dubois,22,India,66,88.8,43.2,2075
73,Sofia Moreira,28,Spain,49,72.8,49.1,2708
74,Omar Hussein,20,Taiwan,39,80.6,49.9,2448
75,Lena Fischer,30,Denmark,43,77.1,41.5,2684
76,Lucas Gonzales,23,India,32,76.7,47.4,1955
77,Natalie Cooper,22,Malaysia,45,69.6,40.7,1965
78,Ryu Seok-woo,28,China,49,59.1,44.8,2796
79,Alicia Fernández,32,China,34,56.2,40.3,2178
80,Tomislav Kovac,23,Denmark,30,64.2,42.8,2058
81,Katarina Novak,30,China,38,58.5,46.6,1836
82,Ismail Yilmaz,35,India,59,53.9,44.3,1677
83,Elisa Müller,31,Malaysia,60,83.5,49.6,2330
84,Mark Williams,30,Taiwan,34,73,40.6,2655
85,Irina Ivanova,27,Spain,39,60,49.7,2195
86,Marco Lombardi,34,Denmark,61,78,47,2258
87,Laura García,33,Taiwan,60,56,41.4,2049
88,Felix Müller,29,China,52,56.1,46.4,2345
89,Mina Kim,31,India,41,82.3,45.8,1870
90,Johan Olsson,22,Malaysia,41,61.6,46.4,2722
91,Camille Laurent,24,Denmark,33,69.7,46.1,2118
92,Ahmed Khan,33,Malaysia,61,78.1,45.4,2238
93,Chantal Dupont,34,Indonesia,56,75,44.2,2743
94,Ivan Petrovic,24,Denmark,39,91.6,49.8,1962
95,Anna Orlov,24,Malaysia,60,93.1,41.8,2952
96,Diego Rodriguez,25,Malaysia,43,90.5,41.2,2323
97,Miho Tanaka,27,Malaysia,63,58.4,47.7,1542
98,Jakob Hansen,24,Denmark,45,54.7,48.1,1529
99,Emilia Ferreira,31,Taiwan,54,86.7,44.1,2515
100,Zoe Kimura,30,China,35,67.3,48.3,2654
